driver,S1,S1_conf,ST,ST_conf,interaction_gap
cogs_pct,0.9085326793510904,0.10426822232233811,0.9097847521131108,0.09080789389253527,0.0012520727620204397
opex_pct,0.08999589691827331,0.036209874239680036,0.08991783634727514,0.010132569341796098,-7.806057099817021e-05
capex_pct,0.0009304499654436734,0.0037045537723248575,0.0009302585023907541,9.911508832622688e-05,-1.914630529193306e-07
tax_rate,0.0005276145549722169,0.0027285258610486693,0.0007529759224964589,0.00015145735154436626,0.00022536136752424204
revenue_growth,5.476481525580509e-06,0.00031121062269014464,7.4337285528862945e-06,1.2731285515036014e-06,1.9572470273057858e-06
nwc_pct,-2.2149422853186984e-06,0.00012073886103357472,1.3378075986566978e-06,1.6049329357506836e-07,3.5527498839753962e-06
