driver,low_value,high_value,fcf_low,fcf_high,fcf_base,impact_range
cogs_pct,0.496,0.744,13313.3520576,857.4881728000018,7085.420115199999,12455.863884799997
opex_pct,0.1424,0.21359999999999998,8873.43928576,5297.40094464,7085.420115199999,3576.03834112
capex_pct,0.04000000000000001,0.06,7733.487955199998,6437.352275199999,7085.420115199999,1296.1356799999994
tax_rate,0.18000000000000002,0.27,7674.513781759999,6496.32644864,7085.420115199999,1178.1873331199986
nwc_pct,0.064,0.096,7049.3686591999995,7121.471571199998,7085.420115199999,72.10291199999847
revenue_growth,-0.02688,-0.040319999999999995,7097.3846921600025,7073.455538239999,7085.420115199999,23.929153920003046
