ordering,growth_explicit,terminal_growth,wacc,total
growth_explicit -> terminal_growth -> wacc,-13.075512610415245,-14.575673226321527,-17.454661241636046,-45.10584707837282
growth_explicit -> wacc -> terminal_growth,-13.075512610415245,-9.265236657321822,-22.76509781063575,-45.10584707837282
terminal_growth -> growth_explicit -> wacc,-11.264727334051656,-16.386458502685116,-17.454661241636046,-45.10584707837282
terminal_growth -> wacc -> growth_explicit,-9.11414471621947,-16.386458502685116,-19.60524385946823,-45.10584707837282
wacc -> growth_explicit -> terminal_growth,-10.265196462550108,-9.265236657321822,-25.57541395850089,-45.10584707837282
wacc -> terminal_growth -> growth_explicit,-9.11414471621947,-10.416288403652459,-25.57541395850089,-45.10584707837282
