driver,low_value,high_value,fcf_low,fcf_high,fcf_base,impact_range
opex_pct,0.41600000000000004,0.624,1169.5254609599997,373.4644622399998,771.4949615999999,796.0609987199998
cogs_pct,0.192,0.288,955.2013459200002,587.7885772799998,771.4949615999999,367.4127686400004
tax_rate,0.144,0.216,811.82075328,731.1691699200001,771.4949615999999,80.6515833599999
capex_pct,0.024,0.036,799.4989836,743.4909395999999,771.4949615999999,56.00804400000004
revenue_growth,0.024800000000000003,0.0372,768.2166892799996,774.7732339199999,771.4949615999999,6.556544640000311
nwc_pct,0.04000000000000001,0.06,772.8983315999999,770.0915915999999,771.4949615999999,2.8067399999999907
