driver,S1,S1_conf,ST,ST_conf,interaction_gap
opex_pct,0.8140060733442276,0.09188534027143432,0.8138999062974392,0.07175385842975034,-0.00010616704678834132
cogs_pct,0.17382498829911155,0.04774778129815607,0.1731933293992109,0.019958669989498634,-0.0006316588999006612
tax_rate,0.008549159691033455,0.01279592630349326,0.008963169363960268,0.0011920475994152426,0.00041400967292681314
capex_pct,0.004027128133695267,0.007461526541022457,0.004026143781818948,0.0004529263038307899,-9.84351876318762e-07
revenue_growth,-3.20423840639009e-05,0.0009038988394347838,6.756267978560846e-05,1.038817969466992e-05,9.960506384950936e-05
nwc_pct,6.866479890594171e-06,0.00037145605190504123,1.0246151485474482e-05,1.2565687037911201e-06,3.3796715948803113e-06
